,index,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date,Year,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,lat,lon
123318,123318,150051,INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,601 W SECOND ST,BLOOMINGTON,IN,47403,MONROE,(812) 353-9555,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,919,,26,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,39.161034,-86.539909
123411,123411,150056,INDIANA UNIVERSITY HEALTH,1701 N SENATE BLVD,INDIANAPOLIS,IN,46202,MARION,(317) 962-5900,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,1494,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,39.790039,-86.162941
123504,123504,150057,FRANCISCAN HEALTH MOORESVILLE,1201 HADLEY RD,MOORESVILLE,IN,46158,MORGAN,(317) 831-1160,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,759,,36,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,39.607925,-86.35656
123597,123597,150058,MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,SOUTH BEND,IN,46601,ST. JOSEPH,(574) 647-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,364,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,41.684135,-86.252014
123690,123690,150059,RIVERVIEW HEALTH,395 WESTFIELD RD,NOBLESVILLE,IN,46060,HAMILTON,(317) 773-0760,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,728,,29,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,40.046005,-86.02327
123783,123783,150061,DAVIESS COMMUNITY HOSPITAL,1314 E WALNUT ST,WASHINGTON,IN,47501,DAVIESS,(812) 254-2760,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,267,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,38.659458,-87.159988
123876,123876,150064,FAYETTE REGIONAL HEALTH SYSTEM,1941 VIRGINIA AVE,CONNERSVILLE,IN,47331,FAYETTE,(765) 825-5131,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,86,6,Not Applicable,81,6,30,6,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Not Available,5.0,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,39.656517,-85.132118
123969,123969,150065,SCHNECK MEDICAL CENTER,411 W TIPTON ST,SEYMOUR,IN,47274,JACKSON,(812) 522-2349,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,88,,Not Applicable,377,,25,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,38.956097,-85.892052
124062,124062,150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,(812) 801-0105,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,376,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,38.792534,-85.364204
124155,124155,150072,MEMORIAL HOSPITAL,1101 MICHIGAN AVE,LOGANSPORT,IN,46947,CASS,(574) 753-7541,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,333,,32,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Not Available,5.0,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,40.763351,-86.361641
124248,124248,150074,COMMUNITY HOSPITAL EAST,1500 N RITTER AVE,INDIANAPOLIS,IN,46219,MARION,(317) 355-5411,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,915,,20,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,39.786987,-86.075615
124341,124341,150075,BLUFFTON REGIONAL MEDICAL CENTER,303 S MAIN ST,BLUFFTON,IN,46714,WELLS,(260) 824-3210,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,,Not Applicable,293,,33,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,40.73748,-85.170898
124434,124434,150076,SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH,1915 LAKE AVE,PLYMOUTH,IN,46563,MARSHALL,(574) 948-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,335,,25,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,41.333401,-86.331703
124527,124527,150082,DEACONESS HOSPITAL INC,600 MARY ST,EVANSVILLE,IN,47747,VANDERBURGH,(812) 450-5000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,,Not Applicable,1120,,31,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,37.983067984685,-87.571275032857
124620,124620,150084,ST VINCENT HOSPITAL & HEALTH SERVICES,2001 W 86TH ST,INDIANAPOLIS,IN,46260,MARION,(317) 338-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,4260,,32,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,39.9077,-86.194679
124713,124713,150086,DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,DEARBORN,(812) 537-1010,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,398,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,39.11079,-84.883415
124806,124806,150088,ST. VINCENT ANDERSON REGIONAL HOSPITAL,2015 JACKSON ST,ANDERSON,IN,46016,MADISON,(765) 646-8373,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,929,,31,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,40.095604,-85.681419
124899,124899,150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE,IN,47303,DELAWARE,(765) 747-3111,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,538,,26,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,40.195992,-85.413353
124992,124992,150090,FRANCISCAN HEALTH DYER,24 JOLIET ST,DYER,IN,46311,LAKE,(219) 865-2141,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,353,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.492561,-87.524368
125085,125085,150091,PARKVIEW HUNTINGTON HOSPITAL,2001 STULTS RD,HUNTINGTON,IN,46750,HUNTINGTON,(260) 355-3000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,,Not Applicable,349,,32,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,40.905777,-85.488548
125178,125178,150097,MAJOR HOSPITAL,2451 INTELLIPLEX DR,SHELBYVILLE,IN,46176,SHELBY,(317) 392-3211,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,,Not Applicable,409,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,39.559406,-85.784721
125271,125271,150100,"ST. MARY'S HEALTH, INC.",3700 WASHINGTON AVE,EVANSVILLE,IN,47750,VANDERBURGH,(812) 485-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,2613,,34,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,37.963352,-87.502846
125364,125364,150101,PARKVIEW WHITLEY HOSPITAL,1260 E SR 205,COLUMBIA CITY,IN,46725,WHITLEY,(260) 248-9301,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,,Not Applicable,346,,34,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,5.0,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,41.158642,-85.465172
125457,125457,150102,INDIANA UNIVERSITY HEALTH STARKE HOSPITAL,102 E CULVER RD,KNOX,IN,46534,STARKE,(574) 772-1102,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,6,Not Applicable,74,6,26,6,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Not Available,5.0,Same as the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Same as the national average,,41.287575,-86.621925
125550,125550,150104,WITHAM HEALTH SERVICES,2605 N LEBANON ST,LEBANON,IN,46052,BOONE,(765) 485-8000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,366,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,40.080841,-86.472961
125643,125643,150109,FRANCISCAN HEALTH LAFAYETTE,1701 S CREASY LN,LAFAYETTE,IN,47905,TIPPECANOE,(765) 502-4334,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,,Not Applicable,1083,,26,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,40.394009,-86.834641
125736,125736,150112,COLUMBUS REGIONAL HOSPITAL,2400 E 17TH ST,COLUMBUS,IN,47201,BARTHOLOMEW,(812) 379-4441,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,74,,Not Applicable,1564,,31,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,3,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,39.217098,-85.895599
